BOSTON MA	NEW YORK NY	LOS ANGELES CA	CHICAGO IL	DALLAS TX	BOISE ID	POUGHKEEPSIE NY	BURLINGTON VT
20	20	15	25	30	30		
30	100	42	45	20	15		
45	45	20	25	50	5		
40	60	45	10	25	5		
45	10	40	10	30	10		
15	20	60	10	20	60		
2	15	15	20	30	15		
10	40	20	45	10	10		
30	40	5	1	16	10		
40	35	70	30	15	5		
25	60	30	50	60	20		
35	45	20	35	25	30		
30	45	45	50	60	5		
40	5	60	30	10	8		
45	25	25	30	14	20		
45	30	45	10	20	7		
30	20	20	20	30	15		
25	55	20	12	15	20		
45	30	30	5	20	30		
30	30	10	30	60	15		
45	10	40	75	40	15		
45	30	55	45	30	30		
14	40	30	20	60	20		
50	60	35	5	40	30		
20	60	20	10	60	25		
40	35	40	22	30	30		
5	10	15	20	30	35		
30	10	15	25	10	10		
25	50	20	45	153	2		
10	45	30	90	20	25		
20	90	40	40	15	1		
20	45	20	15	25	30		
30	45	60	60	20	8		
60	25	5	15	30	15		
20	35	60	149	10	15		
25	20	2	15	30	20		
40	60	7	60	25	15		
10	45	5	149	20	30		
50	90	20	10	20	10		
30	75	15	30	30	10		
10	28	11	60	60	10		
5	25	25	45	45	45		
30	15	15	45	15	30		
30	25	45	10	5	30		
50	10	20	15	17	30		
35	20	15	30	5	45		
15	60	50	40	153	4		
15	60	60	45	10	20		
20	16	9	25	45	30		
40	20	30	25	45	5		
1	20	45	35	60	25		
18	30	10	60	45	6		
1	40	30	40	10	40		
12	25	30	5	5	15		
25	60	20	27	10	10		
30	45	50	45	10	15		
50	60	15	50	35	1		
30	25	15	5	40	30		
30	25	20	20	20	10		
25	75	25	20	40	10		
20	90	45	60	10	30		
60	30	13	30	55	20		
35	60	40	30	20	30		
35	45	20	25	20	7		
40	45	45	30	55	20		
15	70	15	20	15	25		
20	60	15	20	30	10		
15	60	50	25	30	15		
10	30	25	45	90	45		
15	60	10	60	2	10		
30	45	20	10	9	15		
50	30	30	20	40	30		
30	10	30	30	25	15		
20	60	10	50	30	2		
20	30	30	45	10	20		
50	30	10	40	25	15		
60	60	60	15	5	60		
10	30	5	60	15	25		
35	60	20	30	40	15		
60	15	20	35	40	20		
25	45	25	25	20	25		
10	45	60	60	30	18		
20	40	30	15	60	20		
20	15	20	25	25	25		
60	50	30	25	6	90		
20	55	20	60	60	10		
5	75	60	10	40	20		
50	60	25	5	30	60		
45	90	30	60	20	15		
30	20	30	10	45	15		
45	45	50	20	1	30		
60	30	5	30	5	20		
20	75	10	45	20	10		
15	45	30	30	35	25		
15	90	20	35	5	15		
25	60	45	20	20	15		
15	30	30	75	45	30		
9	90	5	20	35	8		
30	60	10	60	10	5		
15	40	45	60	10	25		
60	90	20	50	45	20		
45	60	45	20	15	5		
60	30	70	2	35	10		
60	45	30	15	16	5		
15	60	60	50	60	5		
