GENDER (1=M)	MEASURED WEIGHT (LB)	REPORTED WEIGHT (LB)	MEASURED HEIGHT (IN)	REPORTED  HEIGHT (IN)	MEASURED WEIGHT (KG)	REPORTED WEIGHT (KG)	MEASURED HEIGHT (CM)	REPORTED HEIGHT (CM)
0	304.0	298	61.0	62	137.9	135.2	155.0	157.5
0	185.8	190	61.1	62	84.3	86.2	155.3	157.5
0	130.3	123	61.1	62	59.1	55.8	155.3	157.5
1	194.0	190	67.7	71	88.0	86.2	172.0	180.3
1	187.0	186	66.5	67	84.8	84.4	169.0	170.2
1	154.3	155	67.2	69	70.0	70.3	170.7	175.3
0	185.4	193	61.1	62	84.1	87.5	155.3	157.5
0	89.1	98	56.3	57	40.4	44.5	143.0	144.8
0	236.3	236	63.6	64	107.2	107.0	161.5	162.6
0	145.1	135	61.7	62	65.8	61.2	156.6	157.5
1	193.3	200	67.1	69	87.7	90.7	170.4	175.3
1	222.7	242	64.5	66	101.0	109.8	163.8	167.6
1	256.4	250	71.3	72	116.3	113.4	181.1	182.9
1	187.2	185	66.5	68	84.9	83.9	169.0	172.7
1	181.2	180	67.4	66	82.2	81.6	171.2	167.6
0	103.8	105	59.1	59	47.1	47.6	150.0	149.9
0	151.9	148	67.1	68	68.9	67.1	170.5	172.7
1	251.8	230	70.5	70	114.2	104.3	179.1	177.8
0	167.1	170	62.4	63	75.8	77.1	158.6	160.0
1	241.4	230	68.5	70	109.5	104.3	173.9	177.8
0	183.4	165	64.4	66	83.2	74.8	163.7	167.6
1	110.2	110	63.3	64	50.0	49.9	160.7	162.6
1	243.4	245	70.3	71	110.4	111.1	178.5	180.3
0	130.1	125	68.1	68	59.0	56.7	172.9	172.7
0	166.2	155	60.9	60	75.4	70.3	154.7	152.4
0	118.2	120	66.4	67	53.6	54.4	168.7	170.2
1	207.9	206	68.7	70	94.3	93.4	174.4	177.8
0	125.2	129	64.6	66	56.8	58.5	164.1	167.6
1	163.1	165	67.8	69	74.0	74.8	172.3	175.3
1	170.2	180	71.4	73	77.2	81.6	181.3	185.4
0	135.4	140	65.9	66	61.4	63.5	167.3	167.6
0	81.6	85	59.4	60	37.0	38.6	150.9	152.4
1	148.4	150	65.7	67	67.3	68.0	167.0	170.2
1	231.7	230	72.4	73	105.1	104.3	183.8	185.4
1	134.0	140	69.9	70	60.8	63.5	177.6	177.8
0	86.0	93	60.7	62	39.0	42.2	154.2	157.5
0	185.6	192	67.4	68	84.2	87.1	171.2	172.7
0	232.6	240	60.7	61	105.5	108.9	154.1	154.9
0	160.9	158	58.3	58	73.0	71.7	148.0	147.3
1	199.5	195	72.8	74	90.5	88.5	184.8	188.0
1	164.2	167	68.9	69	74.5	75.7	175.1	175.3
0	144.6	147	65.3	66	65.6	66.7	165.8	167.6
0	158.5	156	60.3	62	71.9	70.8	153.2	157.5
1	268.1	275	73.5	74	121.6	124.7	186.6	188.0
0	119.5	121	67.0	66	54.2	54.9	170.3	167.6
1	177.9	175	68.5	71	80.7	79.4	173.9	180.3
1	208.3	194	67.6	68	94.5	88.0	171.6	172.7
1	183.9	180	68.9	69	83.4	81.6	174.9	175.3
1	137.6	135	64.4	66	62.4	61.2	163.7	167.6
1	157.4	152	69.4	70	71.4	68.9	176.4	177.8
0	232.8	243	65.6	67	105.6	110.2	166.5	170.2
1	159.2	168	68.0	69	72.2	76.2	172.8	175.3
1	199.3	200	66.1	66	90.4	90.7	167.9	167.6
0	129.4	129	63.3	63	58.7	58.5	160.9	160.0
0	113.8	117	63.9	64	51.6	53.1	162.3	162.6
1	189.2	178	67.7	68	85.8	80.7	171.9	172.7
0	111.1	112	62.6	62	50.4	50.8	159.0	157.5
1	194.0	190	68.9	69	88.0	86.2	174.9	175.3
0	126.8	130	62.9	63	57.5	59.0	159.8	160.0
0	109.6	115	62.5	62	49.7	52.2	158.8	157.5
0	125.4	130	62.6	63	56.9	59.0	159.0	160.0
1	137.3	137	67.7	69	62.3	62.1	172.0	175.3
0	120.4	120	60.9	60	54.6	54.4	154.7	152.4
1	129.0	156	69.2	68	58.5	70.8	175.8	172.7
0	130.7	130	62.8	64	59.3	59.0	159.4	162.6
1	237.7	242	70.7	72	107.8	109.8	179.6	182.9
1	257.3	260	70.0	71	116.7	117.9	177.9	180.3
1	283.1	260	72.4	71	128.4	117.9	183.9	180.3
0	155.2	155	63.7	64	70.4	70.3	161.8	162.6
1	383.6	380	70.6	71	174.0	172.4	179.2	180.3
1	193.8	195	72.2	74	87.9	88.5	183.4	188.0
0	245.6	245	65.0	66	111.4	111.1	165.2	167.6
1	387.4	380	73.3	75	175.7	172.4	186.1	190.5
1	194.7	200	69.4	70	88.3	90.7	176.2	177.8
1	173.5	175	64.8	66	78.7	79.4	164.5	167.6
0	158.5	158	62.9	64	71.9	71.7	159.8	162.6
1	214.3	210	67.6	69	97.2	95.3	171.6	175.3
1	158.5	160	67.3	70	71.9	72.6	171.0	177.8
1	143.1	145	64.0	65	64.9	65.8	162.6	165.1
0	98.3	100	63.0	62	44.6	45.4	160.1	157.5
0	106.7	103	60.6	61	48.4	46.7	154.0	154.9
1	202.2	200	66.7	67	91.7	90.7	169.3	170.2
0	163.1	166	63.2	64	74.0	75.3	160.6	162.6
0	128.1	130	56.6	59	58.1	59.0	143.8	149.9
0	184.1	175	59.4	60	83.5	79.4	150.8	152.4
1	208.1	210	67.1	68	94.4	95.3	170.4	172.7
0	102.1	103	62.9	63	46.3	46.7	159.8	160.0
0	150.6	145	65.6	66	68.3	65.8	166.7	167.6
1	102.1	104	65.5	66	46.3	47.2	166.4	167.6
1	227.7	227	69.8	72	103.3	103.0	177.3	182.9
0	179.0	179	60.7	60	81.2	81.2	154.2	152.4
0	122.1	126	66.4	66	55.4	57.2	168.7	167.6
1	253.5	230	68.4	71	115.0	104.3	173.7	180.3
0	349.9	360	64.5	65	158.7	163.3	163.9	165.1
1	166.9	180	70.6	72	75.7	81.6	179.4	182.9
1	168.2	170	68.5	69	76.3	77.1	173.9	175.3
0	164.0	154	63.7	63	74.4	69.9	161.8	160.0
1	328.0	322	71.1	72	148.8	146.1	180.5	182.9
1	187.0	188	64.7	66	84.8	85.3	164.3	167.6
0	187.8	165	66.2	66	85.2	74.8	168.2	167.6
1	180.3	185	69.3	72	81.8	83.9	175.9	182.9
1	206.6	202	61.9	66	93.7	91.6	157.3	167.6
0	105.8	103	60.7	62	48.0	46.7	154.3	157.5
0	155.6	162	62.8	65	70.6	73.5	159.6	165.1
0	164.9	166	65.5	67	74.8	75.3	166.4	170.2
1	184.7	178	66.3	68	83.8	80.7	168.5	172.7
0	222.7	221	59.6	61	101.0	100.2	151.3	154.9
0	127.2	128	65.1	66	57.7	58.1	165.4	167.6
0	188.7	190	65.7	67	85.6	86.2	166.8	170.2
1	211.9	217	76.0	78	96.1	98.4	193.1	198.1
0	177.3	171	65.7	67	80.4	77.6	167.0	170.2
1	171.7	175	64.8	67	77.9	79.4	164.7	170.2
0	133.8	130	57.5	58	60.7	59.0	146.1	147.3
0	169.5	160	63.1	64	76.9	72.6	160.3	162.6
0	166.9	160	61.9	64	75.7	72.6	157.3	162.6
1	169.5	165	66.8	67	76.9	74.8	169.7	170.2
0	131.4	133	61.7	62	59.6	60.3	156.7	157.5
1	148.8	146	67.4	67	67.5	66.2	171.3	170.2
0	172.6	160	61.3	60	78.3	72.6	155.7	152.4
1	196.9	200	68.1	69	89.3	90.7	172.9	175.3
0	173.3	165	59.1	59	78.6	74.8	150.1	149.9
0	119.3	127	64.4	66	54.1	57.6	163.7	167.6
1	218.7	223	73.0	72	99.2	101.2	185.3	182.9
0	156.7	160	65.0	66	71.1	72.6	165.0	167.6
1	226.6	228	74.1	75	102.8	103.4	188.3	190.5
1	172.6	170	66.6	66	78.3	77.1	169.2	167.6
0	169.5	175	59.4	59	76.9	79.4	150.8	149.9
0	123.5	125	63.8	64	56.0	56.7	162.0	162.6
0	221.6	210	66.3	67	100.5	95.3	168.4	170.2
0	175.7	170	62.5	62	79.7	77.1	158.7	157.5
1	199.1	204	67.7	70	90.3	92.5	172.0	177.8
0	134.5	132	64.8	66	61.0	59.9	164.5	167.6
1	179.9	177	72.6	73	81.6	80.3	184.3	185.4
0	137.3	130	70.1	71	62.3	59.0	178.1	180.3
0	127.2	130	60.3	60	57.7	59.0	153.1	152.4
1	145.5	165	74.4	77	66.0	74.8	189.0	195.6
1	187.6	181	66.1	59	85.1	82.1	167.9	149.9
1	155.2	172	68.5	70	70.4	78.0	174.0	177.8
1	262.8	270	73.4	74	119.2	122.5	186.5	188.0
1	166.4	165	69.3	70	75.5	74.8	176.0	177.8
1	187.8	260	68.9	68	85.2	117.9	175.0	172.7
1	224.4	230	70.6	71	101.8	104.3	179.3	180.3
1	175.0	172	64.9	66	79.4	78.0	164.9	167.6
1	153.0	150	67.2	67	69.4	68.0	170.8	170.2
0	201.3	200	67.9	68	91.3	90.7	172.5	172.7
1	161.4	165	65.7	65	73.2	74.8	166.8	165.1
1	163.6	162	67.3	70	74.2	73.5	171.0	177.8
1	154.8	150	64.6	66	70.2	68.0	164.1	167.6
1	286.2	278	74.0	74	129.8	126.1	188.0	188.0
1	161.8	160	66.0	68	73.4	72.6	167.7	172.7
1	182.8	185	69.9	71	82.9	83.9	177.6	180.3
1	150.4	150	65.5	66	68.2	68.0	166.4	167.6
0	149.3	146	66.2	67	67.7	66.2	168.2	170.2
0	177.5	175	67.8	68	80.5	79.4	172.3	172.7
0	291.9	280	64.2	64	132.4	127.0	163.1	162.6
0	115.7	115	64.5	65	52.5	52.2	163.9	165.1
0	259.0	260	65.7	66	117.5	117.9	166.9	167.6
0	140.9	130	61.7	59	63.9	59.0	156.7	149.9
1	226.4	230	67.7	67	102.7	104.3	171.9	170.2
1	208.1	215	69.8	69	94.4	97.5	177.3	175.3
0	144.2	130	61.7	62	65.4	59.0	156.8	157.5
1	143.5	140	67.1	67	65.1	63.5	170.5	170.2
0	225.5	225	60.9	62	102.3	102.1	154.6	157.5
0	166.2	166	61.2	61	75.4	75.3	155.4	154.9
1	128.1	130	60.3	64	58.1	59.0	153.1	162.6
0	163.6	154	62.5	59	74.2	69.9	158.7	149.9
1	142.9	146	67.4	69	64.8	66.2	171.1	175.3
0	162.3	160	65.2	67	73.6	72.6	165.6	170.2
0	129.6	127	59.1	61	58.8	57.6	150.2	154.9
0	235.2	238	62.0	62	106.7	108.0	157.5	157.5
0	97.7	105	64.5	65	44.3	47.6	163.9	165.1
0	140.7	130	64.0	63	63.8	59.0	162.6	160.0
0	142.6	140	62.4	65	64.7	63.5	158.6	165.1
0	172.6	172	66.1	67	78.3	78.0	167.8	170.2
1	138.9	140	66.7	68	63.0	63.5	169.4	172.7
1	202.4	222	64.9	68	91.8	100.7	164.8	172.7
1	222.2	226	69.5	70	100.8	102.5	176.6	177.8
0	205.9	203	64.1	64	93.4	92.1	162.7	162.6
0	288.4	276	64.9	65	130.8	125.2	164.8	165.1
0	161.4	159	64.3	66	73.2	72.1	163.2	167.6
1	191.4	186	68.3	68	86.8	84.4	173.4	172.7
0	128.3	132	56.3	60	58.2	59.9	143.0	152.4
1	166.0	165	69.2	70	75.3	74.8	175.7	177.8
1	231.0	230	66.9	68	104.8	104.3	170.0	172.7
0	155.4	155	63.0	63	70.5	70.3	160.0	160.0
0	111.3	114	63.2	64	50.5	51.7	160.5	162.6
1	306.0	300	67.2	67	138.8	136.1	170.6	170.2
1	225.1	221	67.6	68	102.1	100.2	171.8	172.7
1	178.1	175	72.0	72	80.8	79.4	183.0	182.9
0	183.9	183	63.5	64	83.4	83.0	161.2	162.6
0	200.0	209	66.2	66	90.7	94.8	168.1	167.6
0	142.2	135	60.6	62	64.5	61.2	154.0	157.5
0	195.3	190	64.4	65	88.6	86.2	163.6	165.1
0	122.8	125	64.3	65	55.7	56.7	163.3	165.1
0	190.7	185	64.5	69	86.5	83.9	163.9	175.3
1	209.9	200	72.8	74	95.2	90.7	184.9	188.0
0	111.8	113	60.7	60	50.7	51.3	154.3	152.4
1	164.7	160	72.1	74	74.7	72.6	183.2	188.0
1	240.5	233	68.3	70	109.1	105.7	173.5	177.8
1	239.0	238	70.2	71	108.4	108.0	178.2	180.3
1	173.1	175	69.6	71	78.5	79.4	176.9	180.3
1	207.2	195	73.9	75	94.0	88.5	187.7	190.5
1	191.6	192	63.7	64	86.9	87.1	161.7	162.6
1	158.5	143	64.0	64	71.9	64.9	162.5	162.6
1	180.6	180	65.0	66	81.9	81.6	165.0	167.6
1	166.9	175	69.7	70	75.7	79.4	177.1	177.8
0	139.8	140	62.8	62	63.4	63.5	159.6	157.5
0	229.1	220	62.2	63	103.9	99.8	157.9	160.0
0	269.0	260	65.5	66	122.0	117.9	166.4	167.6
0	218.0	222	62.0	62	98.9	100.7	157.4	157.5
0	118.8	125	60.4	61	53.9	56.7	153.5	154.9
0	160.3	145	65.0	64	72.7	65.8	165.2	162.6
1	122.8	122	65.2	66	55.7	55.3	165.6	167.6
0	219.8	215	60.2	61	99.7	97.5	152.8	154.9
1	149.3	150	67.6	66	67.7	68.0	171.6	167.6
0	139.8	140	67.4	67	63.4	63.5	171.3	170.2
1	203.3	202	69.8	70	92.2	91.6	177.4	177.8
1	167.1	170	67.0	70	75.8	77.1	170.3	177.8
0	140.4	140	61.5	62	63.7	63.5	156.2	157.5
0	256.6	264	67.7	69	116.4	119.7	171.9	175.3
0	128.5	126	63.9	61	58.3	57.2	162.3	154.9
1	140.7	145	70.5	69	63.8	65.8	179.0	175.3
0	152.1	150	62.8	64	69.0	68.0	159.5	162.6
0	144.0	143	63.1	63	65.3	64.9	160.3	160.0
1	129.2	135	68.6	69	58.6	61.2	174.2	175.3
1	160.9	165	72.6	73	73.0	74.8	184.4	185.4
1	244.9	248	72.3	74	111.1	112.5	183.7	188.0
1	118.6	123	68.3	70	53.8	55.8	173.5	177.8
0	228.6	230	65.5	66	103.7	104.3	166.4	167.6
0	141.5	139	63.1	61	64.2	63.0	160.2	154.9
1	135.4	127	68.5	69	61.4	57.6	174.1	175.3
0	103.8	100	60.0	62	47.1	45.4	152.5	157.5
1	161.4	162	73.7	75	73.2	73.5	187.3	190.5
0	178.6	160	68.7	69	81.0	72.6	174.5	175.3
0	231.3	200	65.9	66	104.9	90.7	167.3	167.6
0	175.7	175	61.3	60	79.7	79.4	155.8	152.4
1	156.3	160	69.5	70	70.9	72.6	176.5	177.8
0	130.1	130	65.3	66	59.0	59.0	165.9	167.6
0	92.4	95	61.7	61	41.9	43.1	156.7	154.9
1	162.9	173	70.7	72	73.9	78.5	179.6	182.9
0	146.2	147	61.9	62	66.3	66.7	157.1	157.5
1	179.5	178	66.2	68	81.4	80.7	168.2	172.7
0	196.7	195	63.1	66	89.2	88.5	160.4	167.6
1	168.0	164	62.3	62	76.2	74.4	158.2	157.5
0	135.6	150	60.1	62	61.5	68.0	152.7	157.5
1	150.8	150	68.8	69	68.4	68.0	174.8	175.3
1	275.4	270	70.4	72	124.9	122.5	178.8	182.9
0	101.9	98	61.1	62	46.2	44.5	155.2	157.5
1	196.9	185	69.3	69	89.3	83.9	175.9	175.3
1	148.8	145	61.6	63	67.5	65.8	156.4	160.0
1	236.1	225	69.1	69	107.1	102.1	175.4	175.3
1	243.8	240	68.4	70	110.6	108.9	173.8	177.8
1	188.3	180	66.9	67	85.4	81.6	170.0	170.2
0	172.0	170	60.0	60	78.0	77.1	152.4	152.4
1	125.9	130	66.1	67	57.1	59.0	168.0	170.2
1	285.1	285	70.4	70	129.3	129.3	178.7	177.8
0	171.7	169	63.9	64	77.9	76.7	162.2	162.6
1	173.3	176	69.4	69	78.6	79.8	176.4	175.3
0	255.5	254	62.2	62	115.9	115.2	157.9	157.5
0	160.9	158	58.1	59	73.0	71.7	147.7	149.9
1	208.8	215	69.6	70	94.7	97.5	176.9	177.8
0	210.3	206	62.2	64	95.4	93.4	157.9	162.6
0	135.4	130	61.6	62	61.4	59.0	156.4	157.5
0	166.7	163	66.5	67	75.6	73.9	169.0	170.2
1	196.4	220	69.6	71	89.1	99.8	176.7	180.3
0	107.8	105	56.8	57	48.9	47.6	144.2	144.8
0	168.4	160	66.4	67	76.4	72.6	168.6	170.2
1	177.9	180	66.1	66	80.7	81.6	167.8	167.6
1	283.7	280	70.5	72	128.7	127.0	179.0	182.9
0	114.4	116	60.1	61	51.9	52.6	152.7	154.9
1	172.6	170	67.2	68	78.3	77.1	170.8	172.7
1	175.3	143	65.6	72	79.5	64.9	166.6	182.9
0	178.1	173	63.4	64	80.8	78.5	161.1	162.6
1	218.5	214	66.9	73	99.1	97.1	169.8	185.4
0	110.7	110	61.7	60	50.2	49.9	156.7	152.4
0	151.0	157	60.4	62	68.5	71.2	153.4	157.5
0	237.9	220	64.9	65	107.9	99.8	164.9	165.1
0	142.9	131	61.3	61	64.8	59.4	155.8	154.9
0	147.7	145	58.5	60	67.0	65.8	148.7	152.4
0	220.9	200	65.9	67	100.2	90.7	167.3	170.2
1	224.7	225	70.0	70	101.9	102.1	177.9	177.8
1	264.3	250	70.8	72	119.9	113.4	179.8	182.9
1	235.9	240	66.1	67	107.0	108.9	167.9	170.2
0	146.2	145	61.7	62	66.3	65.8	156.8	157.5
1	185.8	180	66.5	67	84.3	81.6	169.0	170.2
1	168.2	170	63.0	64	76.3	77.1	159.9	162.6
0	218.7	220	63.5	64	99.2	99.8	161.4	162.6
0	156.7	154	61.7	64	71.1	69.9	156.6	162.6
0	110.0	119	60.4	61	49.9	54.0	153.5	154.9
0	177.3	168	59.7	60	80.4	76.2	151.7	152.4
0	174.2	173	62.5	62	79.0	78.5	158.7	157.5
1	164.5	160	67.6	69	74.6	72.6	171.8	175.3
0	121.7	127	60.2	61	55.2	57.6	152.9	154.9
1	222.9	225	68.3	68	101.1	102.1	173.6	172.7
1	264.3	260	67.6	72	119.9	117.9	171.6	182.9
0	163.4	160	63.3	64	74.1	72.6	160.9	162.6
1	185.6	185	71.5	72	84.2	83.9	181.5	182.9
0	215.8	210	65.2	66	97.9	95.3	165.5	167.6
0	119.0	110	62.9	62	54.0	49.9	159.8	157.5
0	133.6	132	61.3	61	60.6	59.9	155.7	154.9
1	284.0	285	73.1	73	128.8	129.3	185.8	185.4
1	155.4	155	70.0	72	70.5	70.3	177.8	182.9
1	179.5	180	65.5	68	81.4	81.6	166.4	172.7
1	282.9	285	69.6	70	128.3	129.3	176.8	177.8
1	169.1	165	65.2	65	76.7	74.8	165.7	165.1
1	206.8	200	64.0	65	93.8	90.7	162.5	165.1
0	184.1	180	66.3	66	83.5	81.6	168.4	167.6
1	158.5	165	70.3	70	71.9	74.8	178.5	177.8
0	292.3	290	60.2	61	132.6	131.5	153.0	154.9
0	169.5	170	62.9	65	76.9	77.1	159.8	165.1
0	153.9	158	59.0	60	69.8	71.7	149.9	152.4
0	228.2	230	68.4	69	103.5	104.3	173.7	175.3
0	165.1	158	66.9	67	74.9	71.7	169.8	170.2
0	114.6	115	60.8	61	52.0	52.2	154.5	154.9
1	148.4	155	71.7	72	67.3	70.3	182.0	182.9
0	221.8	218	60.7	61	100.6	98.9	154.1	154.9
0	117.5	125	58.8	60	53.3	56.7	149.4	152.4
0	133.6	131	65.3	67	60.6	59.4	165.9	170.2
1	156.5	175	64.0	63	71.0	79.4	162.6	160.0
0	214.3	200	66.4	67	97.2	90.7	168.7	170.2
1	179.2	175	66.1	66	81.3	79.4	168.0	167.6
1	183.6	180	70.0	70	83.3	81.6	177.9	177.8
0	93.5	92	62.4	62	42.4	41.7	158.4	157.5
1	186.1	187	73.9	75	84.4	84.8	187.7	190.5
0	219.1	216	65.0	67	99.4	98.0	165.1	170.2
1	184.5	180	62.7	61	83.7	81.6	159.3	154.9
0	147.3	145	63.1	62	66.8	65.8	160.3	157.5
1	170.9	175	66.7	67	77.5	79.4	169.4	170.2
0	124.6	125	62.5	63	56.5	56.7	158.7	160.0
1	152.6	142	67.9	71	69.2	64.4	172.4	180.3
0	185.8	165	62.8	62	84.3	74.8	159.5	157.5
1	131.6	140	66.3	66	59.7	63.5	168.5	167.6
0	157.2	160	61.7	62	71.3	72.6	156.6	157.5
0	166.7	165	60.6	62	75.6	74.8	153.9	157.5
1	174.8	170	70.2	71	79.3	77.1	178.3	180.3
0	165.1	170	66.0	67	74.9	77.1	167.7	170.2
1	170.6	173	71.0	71	77.4	78.5	180.3	180.3
0	207.0	210	67.7	69	93.9	95.3	172.0	175.3
0	154.3	155	59.9	62	70.0	70.3	152.2	157.5
0	170.0	167	62.2	64	77.1	75.7	158.0	162.6
0	144.4	120	61.8	62	65.5	54.4	156.9	157.5
1	186.1	185	65.6	66	84.4	83.9	166.7	167.6
1	141.5	142	68.9	71	64.2	64.4	175.1	180.3
0	223.5	220	63.6	63	101.4	99.8	161.5	160.0
1	209.0	210	70.2	70	94.8	95.3	178.4	177.8
1	164.7	150	66.1	64	74.7	68.0	168.0	162.6
1	135.4	135	68.3	68	61.4	61.2	173.6	172.7
0	166.9	164	60.7	60	75.7	74.4	154.2	152.4
0	145.1	145	63.3	63	65.8	65.8	160.8	160.0
1	203.3	189	68.6	72	92.2	85.7	174.2	182.9
1	118.8	135	63.2	64	53.9	61.2	160.6	162.6
0	181.4	180	66.3	67	82.3	81.6	168.5	170.2
0	152.3	157	59.7	60	69.1	71.2	151.7	152.4
1	193.3	185	68.3	69	87.7	83.9	173.5	175.3
0	232.1	235	67.3	68	105.3	106.6	170.9	172.7
0	153.9	150	65.0	66	69.8	68.0	165.1	167.6
0	119.9	98	64.4	65	54.4	44.5	163.5	165.1
0	224.9	210	66.4	67	102.0	95.3	168.7	170.2
1	152.3	158	62.6	64	69.1	71.7	158.9	162.6
0	185.8	178	63.2	64	84.3	80.7	160.6	162.6
1	198.4	200	68.5	68	90.0	90.7	173.9	172.7
0	130.3	128	62.7	64	59.1	58.1	159.2	162.6
0	226.0	230	64.9	65	102.5	104.3	164.9	165.1
1	144.2	145	71.8	72	65.4	65.8	182.3	182.9
0	116.2	112	61.8	61	52.7	50.8	157.0	154.9
1	173.5	168	63.0	62	78.7	76.2	160.1	157.5
1	218.9	213	65.0	66	99.3	96.6	165.0	167.6
0	144.8	140	66.5	67	65.7	63.5	169.0	170.2
0	109.1	108	59.9	60	49.5	49.0	152.2	152.4
1	183.9	185	70.4	71	83.4	83.9	178.9	180.3
1	213.6	215	69.5	70	96.9	97.5	176.5	177.8
0	168.0	160	66.4	66	76.2	72.6	168.6	167.6
1	176.1	170	68.3	68	79.9	77.1	173.4	172.7
0	135.8	137	62.4	63	61.6	62.1	158.6	160.0
0	150.1	155	64.3	64	68.1	70.3	163.2	162.6
0	211.4	210	65.6	65	95.9	95.3	166.5	165.1
0	138.2	120	59.1	60	62.7	54.4	150.0	152.4
0	225.8	225	64.4	65	102.4	102.1	163.5	165.1
1	163.8	162	65.6	70	74.3	73.5	166.6	177.8
0	136.7	142	61.5	61	62.0	64.4	156.3	154.9
0	170.4	170	69.4	70	77.3	77.1	176.3	177.8
1	111.6	125	64.2	65	50.6	56.7	163.1	165.1
0	209.0	200	65.9	65	94.8	90.7	167.3	165.1
0	125.7	124	65.2	66	57.0	56.2	165.6	167.6
1	176.4	175	69.1	71	80.0	79.4	175.6	180.3
1	221.3	215	71.7	72	100.4	97.5	182.0	182.9
0	212.5	173	65.3	64	96.4	78.5	165.8	162.6
1	188.3	187	71.0	71	85.4	84.8	180.4	180.3
1	232.4	232	68.1	69	105.4	105.2	173.1	175.3
0	231.3	230	66.0	67	104.9	104.3	167.7	170.2
0	326.7	320	61.5	62	148.2	145.1	156.2	157.5
1	184.3	185	67.6	67	83.6	83.9	171.7	170.2
1	180.1	175	66.7	67	81.7	79.4	169.3	170.2
0	128.8	134	63.4	64	58.4	60.8	161.0	162.6
0	108.5	103	62.2	64	49.2	46.7	158.0	162.6
1	198.9	210	69.6	70	90.2	95.3	176.8	177.8
0	219.1	219	61.6	63	99.4	99.3	156.5	160.0
1	166.7	160	65.2	68	75.6	72.6	165.6	172.7
0	123.2	120	65.4	65	55.9	54.4	166.1	165.1
0	195.6	208	67.4	67	88.7	94.3	171.3	170.2
1	139.3	154	68.0	69	63.2	69.9	172.8	175.3
1	289.0	265	69.8	69	131.1	120.2	177.3	175.3
1	212.5	210	66.3	67	96.4	95.3	168.3	170.2
0	142.6	145	65.2	66	64.7	65.8	165.5	167.6
0	179.7	175	64.1	66	81.5	79.4	162.8	167.6
0	190.5	178	65.6	66	86.4	80.7	166.7	167.6
0	139.1	147	60.6	62	63.1	66.7	154.0	157.5
1	167.3	160	70.3	68	75.9	72.6	178.5	172.7
0	166.2	164	61.8	62	75.4	74.4	157.0	157.5
0	179.2	170	61.3	60	81.3	77.1	155.6	152.4
1	124.6	129	68.1	69	56.5	58.5	172.9	175.3
0	155.9	157	61.7	62	70.7	71.2	156.7	157.5
0	204.4	180	67.2	67	92.7	81.6	170.6	170.2
1	117.9	125	65.9	65	53.5	56.7	167.4	165.1
0	120.2	120	58.0	60	54.5	54.4	147.4	152.4
0	177.5	179	60.9	62	80.5	81.2	154.7	157.5
0	144.4	142	65.7	65	65.5	64.4	166.8	165.1
0	215.8	191	63.5	63	97.9	86.6	161.2	160.0
1	228.6	230	65.7	66	103.7	104.3	166.9	167.6
0	233.2	233	64.4	65	105.8	105.7	163.6	165.1
0	188.3	190	65.2	64	85.4	86.2	165.7	162.6
0	156.5	152	60.0	61	71.0	68.9	152.5	154.9
0	93.7	94	62.5	64	42.5	42.6	158.8	162.6
0	180.8	175	64.6	67	82.0	79.4	164.0	170.2
1	138.7	130	69.0	70	62.9	59.0	175.2	177.8
1	183.0	180	64.6	66	83.0	81.6	164.0	167.6
0	217.2	215	57.9	59	98.5	97.5	147.0	149.9
0	168.4	160	66.5	67	76.4	72.6	168.8	170.2
1	223.1	235	68.5	70	101.2	106.6	174.1	177.8
1	172.8	170	66.3	66	78.4	77.1	168.5	167.6
0	129.9	130	59.3	61	58.9	59.0	150.7	154.9
1	162.9	168	62.6	63	73.9	76.2	159.1	160.0
1	258.6	270	70.1	73	117.3	122.5	178.0	185.4
0	118.6	115	62.7	62	53.8	52.2	159.3	157.5
0	171.1	160	62.3	61	77.6	72.6	158.2	154.9
0	155.4	150	61.1	61	70.5	68.0	155.2	154.9
0	174.4	178	65.1	65	79.1	80.7	165.3	165.1
1	118.2	125	67.6	69	53.6	56.7	171.7	175.3
0	127.6	140	64.0	64	57.9	63.5	162.6	162.6
1	185.2	185	71.1	72	84.0	83.9	180.5	182.9
0	179.5	177	62.2	65	81.4	80.3	158.0	165.1
0	267.2	265	66.0	67	121.2	120.2	167.6	170.2
1	116.6	130	63.3	65	52.9	59.0	160.7	165.1
0	163.6	165	63.4	64	74.2	74.8	161.1	162.6
1	186.7	200	73.8	74	84.7	90.7	187.4	188.0
0	147.0	140	57.6	64	66.7	63.5	146.4	162.6
0	182.5	178	58.5	59	82.8	80.7	148.7	149.9
1	241.2	220	70.5	72	109.4	99.8	179.0	182.9
0	136.5	142	59.2	62	61.9	64.4	150.4	157.5
1	169.8	170	68.3	69	77.0	77.1	173.4	175.3
0	180.8	175	62.7	64	82.0	79.4	159.2	162.6
1	228.8	240	65.7	65	103.8	108.9	166.8	165.1
0	108.7	105	59.1	59	49.3	47.6	150.2	149.9
0	203.0	207	63.5	65	92.1	93.9	161.4	165.1
0	151.5	150	62.0	61	68.7	68.0	157.5	154.9
0	144.4	140	66.2	66	65.5	63.5	168.2	167.6
1	174.2	183	67.4	69	79.0	83.0	171.3	175.3
0	231.9	225	60.1	63	105.2	102.1	152.7	160.0
1	221.6	223	69.9	72	100.5	101.2	177.6	182.9
0	106.9	107	60.6	61	48.5	48.5	154.0	154.9
0	127.9	145	64.8	66	58.0	65.8	164.5	167.6
1	177.5	170	69.4	70	80.5	77.1	176.4	177.8
